,title,views,day
455,"Blood,_Sweat_&_Tears",292,2021-01-01
456,Foster_the_People,292,2021-01-01
457,Biffy_Clyro,291,2021-01-01
458,Steve_Miller_Band,291,2021-01-01
459,Little_Feat,291,2021-01-01
460,Moon_Taxi,290,2021-01-01
461,MercyMe,290,2021-01-01
462,Dexys_Midnight_Runners,290,2021-01-01
463,Manfred_Mann,289,2021-01-01
464,The_Shadows,289,2021-01-01
465,Prefab_Sprout,288,2021-01-01
466,Ministry_(band),288,2021-01-01
467,Vengaboys,288,2021-01-01
468,Bronski_Beat,288,2021-01-01
469,The_Darkness_(band),288,2021-01-01
470,Shinedown,287,2021-01-01
471,Matchbox_Twenty,287,2021-01-01
472,The_Flaming_Lips,286,2021-01-01
473,The_Dave_Clark_Five,286,2021-01-01
474,Temple_of_the_Dog,286,2021-01-01
475,Survivor_(band),285,2021-01-01
476,The_Cardigans,285,2021-01-01
477,The_Damned_(band),285,2021-01-01
478,JYJ,284,2021-01-01
479,The_Petersens,283,2021-01-01
480,Bauhaus_(band),281,2021-01-01
481,Wardruna,281,2021-01-01
482,City_Girls,281,2021-01-01
483,Scissor_Sisters,279,2021-01-01
484,AFI_(band),279,2021-01-01
485,Blazin'_Fiddles,278,2021-01-01
486,Mastodon_(band),278,2021-01-01
487,Atomic_Kitten,277,2021-01-01
488,Steel_Panther,277,2021-01-01
489,Wagakki_Band,276,2021-01-01
490,Danzig_(band),276,2021-01-01
491,Eiffel_65,276,2021-01-01
492,Sly_and_the_Family_Stone,276,2021-01-01
493,M83_(band),276,2021-01-01
494,Killswitch_Engage,276,2021-01-01
495,Bad_Religion,275,2021-01-01
496,Seether,275,2021-01-01
497,Mr._Bungle,275,2021-01-01
498,Poco,274,2021-01-01
499,SSAK3,274,2021-01-01
500,38_Special_(band),273,2021-01-01
501,The_Turtles,272,2021-01-01
502,Trans-Siberian_Orchestra,272,2021-01-01
503,Lukas_Graham,272,2021-01-01
504,Spiritbox,272,2021-01-01
505,Arch_Enemy,271,2021-01-01
506,Velvet_Revolver,271,2021-01-01
507,Deee-Lite,271,2021-01-01
508,Hole_(band),271,2021-01-01
509,Collective_Soul,271,2021-01-01
510,Enigma_(German_band),271,2021-01-01
511,Smokie_(band),270,2021-01-01
512,Men_at_Work,270,2021-01-01
513,Sugababes,269,2021-01-01
514,The_Revolution_(band),269,2021-01-01
515,Faces_(band),269,2021-01-01
516,Deltron_3030,268,2021-01-01
517,Iron_Butterfly,268,2021-01-01
518,Halestorm,268,2021-01-01
519,Fugazi,267,2021-01-01
520,Band_Aid_(band),267,2021-01-01
521,The_Osmonds,267,2021-01-01
522,Swedish_House_Mafia,267,2021-01-01
523,Wilco,267,2021-01-01
524,War_(American_band),266,2021-01-01
525,Swans_(band),266,2021-01-01
526,Gipsy_Kings,266,2021-01-01
527,The_Association,266,2021-01-01
528,Booker_T._&_the_M.G.'s,265,2021-01-01
529,The_Communards,265,2021-01-01
530,3_Doors_Down,265,2021-01-01
531,Ratt,265,2021-01-01
532,The_Outfield,264,2021-01-01
533,Puscifer,264,2021-01-01
534,Manic_Street_Preachers,264,2021-01-01
535,Huey_Lewis_and_the_News,264,2021-01-01
536,X_(American_band),264,2021-01-01
537,Extreme_Noise_Terror,263,2021-01-01
538,New_Edition,263,2021-01-01
539,Nick_Cave_and_the_Bad_Seeds,263,2021-01-01
540,Alice_Cooper_(band),261,2021-01-01
541,The_War_on_Drugs_(band),261,2021-01-01
542,Gang_of_Four_(band),261,2021-01-01
543,Hootie_&_the_Blowfish,261,2021-01-01
544,Ram_Jam,261,2021-01-01
545,Blind_Guardian,260,2021-01-01
546,XTC,259,2021-01-01
547,Slum_Village,259,2021-01-01
548,Walk_off_the_Earth,258,2021-01-01
549,The_War_and_Treaty,257,2021-01-01
550,The_Mavericks,255,2021-01-01
551,Poison_(American_band),255,2021-01-01
552,Exodus_(American_band),254,2021-01-01
553,Live_(band),254,2021-01-01
554,Mudvayne,254,2021-01-01
555,The_Cowsills,253,2021-01-01
556,Aunty_Donna,253,2021-01-01
557,Idles,252,2021-01-01
558,In_Flames,252,2021-01-01
559,Echo_&_the_Bunnymen,251,2021-01-01
560,Stone_Sour,251,2021-01-01
561,Kero_Kero_Bonito,251,2021-01-01
562,Sheila_and_B._Devotion,250,2021-01-01
563,Fairport_Convention,250,2021-01-01
564,Black_Pumas,250,2021-01-01
565,Gentle_Giant,250,2021-01-01
566,Beach_House,249,2021-01-01
567,James_Gang,249,2021-01-01
568,Black_Veil_Brides,249,2021-01-01
569,Neutral_Milk_Hotel,249,2021-01-01
570,Sixpence_None_the_Richer,249,2021-01-01
571,Sound_Horizon,249,2021-01-01
572,Sha_Na_Na,248,2021-01-01
573,The_xx,247,2021-01-01
574,Interpol_(band),246,2021-01-01
575,Las_Ketchup,246,2021-01-01
576,The_Waterboys,246,2021-01-01
577,Hot_Chocolate_(band),245,2021-01-01
578,No_More_Kings,245,2021-01-01
579,Suede_(band),245,2021-01-01
580,Faithless,245,2021-01-01
581,Staind,245,2021-01-01
582,Silverchair,244,2021-01-01
583,The_Cramps,244,2021-01-01
584,Girl's_Day,244,2021-01-01
585,Camel_(band),243,2021-01-01
586,Fontaines_D.C.,243,2021-01-01
587,TwoSet_Violin,243,2021-01-01
588,The_Spencer_Davis_Group,243,2021-01-01
589,Slowdive,243,2021-01-01
590,Bad_Boys_Blue,242,2021-01-01
591,Little_River_Band,242,2021-01-01
592,HIM_(Finnish_band),241,2021-01-01
593,Modest_Mouse,241,2021-01-01
594,Static-X,241,2021-01-01
595,Hollywood_Undead,241,2021-01-01
596,Bleachers_(band),241,2021-01-01
597,Ween,240,2021-01-01
598,Amon_Amarth,240,2021-01-01
599,The_Ink_Spots,239,2021-01-01
600,Golden_Earring,239,2021-01-01
601,Dark_Tranquillity,239,2021-01-01
602,Can_(band),237,2021-01-01
603,Primal_Scream,237,2021-01-01
604,The_Dubliners,237,2021-01-01
605,O-Zone,237,2021-01-01
606,Lostprophets,237,2021-01-01
607,Periphery_(band),237,2021-01-01
608,The_Lovin'_Spoonful,236,2021-01-01
609,Godspeed_You!_Black_Emperor,236,2021-01-01
610,Cage_the_Elephant,236,2021-01-01
611,Four_Tops,236,2021-01-01
612,MC5,236,2021-01-01
613,Portugal._The_Man,236,2021-01-01
614,Lemon_Demon,236,2021-01-01
615,Happy_Mondays,236,2021-01-01
616,7L_&_Esoteric,236,2021-01-01
617,Volbeat,235,2021-01-01
618,Jimmy_Eat_World,235,2021-01-01
619,Dschinghis_Khan,234,2021-01-01
620,Machine_Head_(band),234,2021-01-01
621,Eli_Young_Band,233,2021-01-01
622,P.O.D.,233,2021-01-01
623,Violent_Femmes,233,2021-01-01
624,DNCE,232,2021-01-01
625,Clannad,232,2021-01-01
626,Fear_Factory,230,2021-01-01
627,Weather_Report,230,2021-01-01
628,NOFX,230,2021-01-01
629,Ultravox,230,2021-01-01
630,The_Replacements_(band),230,2021-01-01
631,Napalm_Death,230,2021-01-01
632,Ten_Years_After,230,2021-01-01
633,White_Zombie_(band),229,2021-01-01
634,Snarky_Puppy,229,2021-01-01
635,Grandmaster_Flash_and_the_Furious_Five,229,2021-01-01
636,The_Chambers_Brothers,228,2021-01-01
637,The_The,228,2021-01-01
638,Los_Lobos,228,2021-01-01
639,Third_Eye_Blind,228,2021-01-01
640,Yellow_Magic_Orchestra,227,2021-01-01
641,The_Kingston_Trio,227,2021-01-01
642,The_Teskey_Brothers,226,2021-01-01
643,Wintergatan,225,2021-01-01
644,Cradle_of_Filth,225,2021-01-01
645,The_Psychedelic_Furs,225,2021-01-01
646,Bullet_for_My_Valentine,224,2021-01-01
647,The_Wanted,224,2021-01-01
648,The_Beautiful_South,223,2021-01-01
649,KMFDM,221,2021-01-01
650,The_Wallflowers,219,2021-01-01
651,McFly,219,2021-01-01
652,New_Found_Glory,219,2021-01-01
653,Alter_Bridge,219,2021-01-01
654,The_Fall_(band),218,2021-01-01
655,Sister_Sledge,217,2021-01-01
656,All_Time_Low,217,2021-01-01
657,Crazy_Town,217,2021-01-01
658,Mushroomhead,216,2021-01-01
